Species Code,wsname
101,Largemouth Bass
102,Largemouth Bass
103,Largemouth Bass
104,Spotted Bass
105,Smallmouth Bass
106,White Crappie
107,Black Crappie
109,White Bass
110,Striped Bass
111,Palmetto Bass
112,Walleye
113,Sauger
114,Channel Catfish
115,Blue Catfish
116,Northern Pike
118,Chain Pickerel
119,Muskellunge (overall)
120,Rainbow Trout (lotic)
121,Largemouth Bass
124,Yellow Bass
126,Saugeye
127,Brown Trout (lotic)
128,White Perch
201,Bluegill
204,Redear Sunfish
205,Green Sunfish
206,Rock Bass
207,Warmouth
301,Common Carp
302,Freshwater Drum
303,Smallmouth Buffalo
304,Bigmouth Buffalo
306,River Carpsucker
308,Yellow Bullhead
309,Brown Bullhead
310,Black Bullhead
311,White Sucker
312,Blue Sucker
319,Shorthead Redhorse
320,Paddlefish (overall)
320.1,Paddlefish (male)
320.2,Paddlefish (female)
321,Shovelnose Sturgeon
401,Flathead Catfish
402,Longnose Gar
404,Spotted Gar
408,Yellow Perch
501,Gizzad Shad
507,Golden Shiner
